experiment,model_name,epochs,val_mean_f1,public_lb,notes
exp0b_retrieval_word,tfidf-word-knn,0.0,0.391,0.293151,"Exp0b word-level TF-IDF NN. SUBMITTED. Public 0.293=avg(R1 0.4378, RL 0.3545, LLM ~0.087). Local word ROUGE matched public well. LLM-judge near 0 -> retrieval cannot answer the specific question."
exp0a_retrieval_char,tfidf-charwb-knn,0.0,0.4278,0.328671,"Exp0a char n-gram TF-IDF NN. SUBMITTED, best baseline. Public 0.3287=avg(R1 0.4838, RL 0.4045, LLM ~0.098). Retrieval ceiling; LLM-judge still ~0."
exp0c_retrieval_blend,tfidf-blend-knn,0.0,0.4204,,Exp0c char+word blended TF-IDF NN. Between word and char locally. Ready to submit (outputs/submissions/baseline_retrieval_blend.csv).
mt5_small_tagged_fast,google/mt5-small,3.0,0.1813,,"Exp1 NEGATIVE: mT5-small, 8k examples x3 epochs, len256, greedy. Val mean 0.181 << retrieval 0.428. Output repetitive/incoherent, code-switches to English. Undertrained: too few examples/epochs, target truncation. NOT submitted. -> need full data, more epochs, longer targets, bigger/African model."
afriteva_v2_base_full,castorini/afriteva_v2_base,3.0,0.3242,0.369867,"Exp7: AfriTeVa-V2-base, FULL 29k data x3 epochs, len256/320, beams2. Val mean 0.324 (< retrieval 0.428 on ROUGE) BUT coherent on-topic answers in correct language -> expect much higher LLM-judge than retrieval's ~0.098. Per-subset: strong Eng_Eth 0.59/Eng_Uga 0.42; weak Amh 0.16/Lug 0.21/Swa 0.26. SUBMIT to learn LLM-judge."
combined_retrieval_afriteva,retrieval(ROUGE)+afriteva(LLM),0.0,,0.459581,Combined per-column: retrieval in R1F1/RLF1 (0.4838/0.4045) + AfriTeVa in TargetLLM (0.5035). Public 0.4596=0.37*0.4838+0.37*0.4045+0.26*0.5035. NEW BEST. Confirms per-column scoring + formula on 5th point.
afriteva_v2_warm5,outputs/models/afriteva_v2_base_full,2.0,0.0,,"Warm-start AfriTeVa (+~1.2 epochs from 3-epoch checkpoint), gentler LR."
afriteva_v2_warm5_long,outputs/models/afriteva_v2_warm5,2.0,0.0,0.467381,"Warm-start AfriTeVa (+~1.2 epochs from 3-epoch checkpoint), gentler LR."
afriteva_v2_warm5,castorini/afriteva_v2_base(warm),5.0,0.3477,,Exp8a warm-start AfriTeVa +2ep=5 total. Val mean 0.348 (+0.024 vs 3ep). Recombined: combined_retrieval_warm5.csv
afriteva_v2_warm5_long,castorini/afriteva_v2_base(warm),7.0,0.3558,0.467381,"Exp8b warm-start +2ep & target 384 = 7ep total. Val mean 0.356 (BEST, +0.032 vs 3ep). Monotonic gains from epochs+length. Recombined: combined_retrieval_warm5long.csv"
combined_retrieval_warm5long,retrieval(ROUGE)+warm5_long(LLM),0.0,,0.467381,NEW BEST. Public 0.4674=0.37*0.4838+0.37*0.4045+0.26*0.5335. warm5_long LLM-judge 0.5335 (up from 0.5035) confirms more training -> better LLM-judge. Val ROUGE proxy tracks LLM-judge.
mt5_base_full,google/mt5-base,3.0,0.3224,,"Exp11 MODEL SELECTION: mT5-base (580M, general multilingual), full data x3ep. Val mean 0.322 ~= AfriTeVa-base 3ep (0.324) and < AfriTeVa warm5_long (0.356), DESPITE 35% more params. Key finding: African-specific pretraining (AfriTeVa) beats a larger general model on these languages. NOT submitted (ROUGE below AfriTeVa)."
afriteva_v2_warm9,castorini/afriteva_v2_base(warm),9.0,0.3611,0.470553,"Exp12 warm-start from warm5_long +2ep = 9 total epochs. Val mean 0.361 (+0.005 vs warm5_long 0.356). Monotonic but DIMINISHING returns (+0.024,+0.008,+0.005). Recombined: combined_retrieval_warm9.csv"
combined_retrieval_warm9,retrieval(ROUGE)+warm9(LLM),0.0,,0.470553,NEW BEST. Public 0.4706=0.37*0.4838+0.37*0.4045+0.26*0.5457. warm9 LLM-judge 0.5457 (up from 0.5335). 9 epochs; diminishing returns but still +0.003 public.
afriteva_v2_balanced,outputs/models/afriteva_v2_warm9,2.0,0.0,0.474193,"Warm-start AfriTeVa (+~1.2 epochs from 3-epoch checkpoint), gentler LR."
afriteva_v2_balanced,castorini/afriteva_v2_base(warm+balanced),2.0,0.385,0.474193,"Exp13 BALANCED SAMPLING: warm-start from warm9, oversample all subsets to 4000 each (+2ep). Val mean 0.369->0.385 (+0.016, biggest jump since warm5). NUANCED: helped Swa+0.05/EngUga+0.05/EngGha+0.03/Aka+0.005 but HURT Amh-0.026/Lug-0.013 (oversampling-by-duplication overfits the smallest, most distinct sets). New proxy-best -> generating submission."
combined_retrieval_balanced,retrieval(ROUGE)+balanced(LLM),0.0,,0.474193,NEW BEST. Public 0.4742=0.37*0.4838+0.37*0.4045+0.26*0.5597. Balanced LLM-judge 0.5597 (up from 0.5457). Fairness experiment also gave best leaderboard score.
FINAL_PRIVATE,combined_retrieval_balanced,0.0,,0.474193,"COMPETITION CLOSED (rank 399). Private 0.4626 vs public 0.4742 (gap 0.012). DETAIL: LLM-judge IDENTICAL 0.5597 both splits (model generalized perfectly); ROUGE cols dropped R1 0.484->0.469, RL 0.405->0.388 (retrieval baseline more brittle). No public-LB overfitting; generative model is the robust component."
